"","state","S1","S2","S3","S4","returns","State_Name"
"10881",1,0.671153091426464,4.14152388940127e-05,0.324459812969581,0.00434568036506115,0.0034821305988233,"Level1"
"10882",1,0.532689914795991,5.08098829810469e-05,0.463939134350523,0.00332014097050493,0.00129023886401569,"Level1"
"10883",1,0.94132141204065,0.000639311177516078,0.041330534167841,0.0167087426139925,-0.0131791044899376,"Level1"
"10884",1,0.934053273714122,0.000148263327058593,0.0560854372932887,0.00971302566553052,-0.00281802721303137,"Level1"
"10885",1,0.897770408394161,3.06925614280459e-05,0.0966105535302685,0.00558834551414282,0.000604513872314527,"Level1"
"10886",1,0.851540255587958,1.86714881727957e-05,0.142962050357662,0.00547902256620794,-0.00171377631541336,"Level1"
"10887",1,0.790110291589326,2.71227804711061e-05,0.204764343400349,0.00509824222985374,-0.00181782517328521,"Level1"
"10888",1,0.70650845107457,3.91907087715279e-05,0.288811839654334,0.00464051856232409,0.00393443130483462,"Level1"
"10889",1,0.584063368297038,4.71939999681394e-05,0.412227272729525,0.00366216497346935,-0.000402829816136041,"Level1"
"10890",1,0.47445217178827,6.82313018478673e-05,0.522426853203691,0.00305274370619086,-0.00171377631541336,"Level1"
"10891",1,0.367104830156093,8.23720152861282e-05,0.630450566948426,0.00236223088019561,-0.00171672849458293,"Level1"
"10892",1,0.587591320443204,0.000342930045795006,0.406468641987779,0.00559710752322263,-0.00811860554160138,"Level1"
"10893",1,0.544492241658845,8.41911445178747e-05,0.451654074336488,0.0037694928601489,-0.00367497354877333,"Level1"
"10894",1,0.694079785495786,0.000176965515438298,0.299614658824484,0.00612859016429151,-0.00728767919932416,"Level1"
"10895",1,0.92961134597957,0.000204643087716244,0.0581717630786066,0.012012247854107,-0.0108758958648316,"Level1"
"10896",1,0.933125797580808,5.36002345011734e-05,0.0591256552725881,0.00769494691210291,-0.0045928577844121,"Level1"
"10897",1,0.903977666006289,2.02227623729885e-05,0.0900577756242353,0.00594433560710312,0.00396781347559383,"Level1"
"10898",1,0.974188196628803,0.000117844830929352,0.00163962800000578,0.0240543305402623,-0.0152257573817387,"Level1"
"10899",1,0.968679933235935,8.60998458210935e-05,0.0137423713687909,0.0174915955494528,-0.00658179654905133,"Level1"
"10900",1,0.952705830933466,4.3581432150395e-05,0.0377542941890102,0.00949629344537379,0.00212785488649025,"Level1"
"10901",1,0.928213625728217,2.32335303168704e-05,0.0659593338672701,0.00580380687419655,0.00169909782193489,"Level1"
"10902",1,0.95956390429134,2.44023969022858e-05,0.0316472692065737,0.00876442410518435,-0.00766859657341712,"Level1"
"10903",1,0.939367557435991,2.1351874762304e-05,0.054750772506708,0.00586031818253872,0.000106933233650963,"Level1"
"10904",1,0.974337344125534,3.9169109112696e-05,0.0138062074988465,0.0118172792665071,0.0119024037462436,"Level1"
"10905",1,0.980865868518809,0.00011374883783514,0.00220039300278236,0.0168199896405737,0.0140566247332385,"Level1"
"10906",1,0.962438166390233,4.549112502786e-05,0.0276816313535618,0.0098347111311773,-0.00323437077583932,"Level1"
"10907",1,0.484846908369418,0.0147908008038736,2.62610097522438e-09,0.500362288200607,0.0315788640360957,"Level1"
"10908",1,0.457028812763423,0.00844297837407183,0.0020714852695967,0.532456723592908,0.0123774762576652,"Level1"
"10909",1,0.324563768295302,0.00607601561464731,0.000240142670299311,0.669120073419751,-0.0139989196611436,"Level1"
"10910",1,0.428086970768099,0.00263400048177694,0.0099206887933073,0.559358339956817,-0.00447240017216277,"Level1"
"10911",1,0.567366589405634,0.0018626562640259,0.0235632761942444,0.407207478136096,0.00173034797928562,"Level1"
"10912",1,0.621963421010203,0.00195909179056377,0.0146898359286543,0.361387651270579,0.00931273043556313,"Level1"
"10913",1,0.624313662081747,0.00219510542136033,0.00412369454903938,0.369367537947853,0.0115203076106472,"Level1"
"10914",1,0.732541042830734,0.00107859439248223,0.0289220630969793,0.237458299679804,9.9616550066628e-05,"Level1"
"10915",1,0.802812092377689,0.000670498170536389,0.049545071579179,0.146972337872595,-0.00169455309231559,"Level1"
"10916",1,0.826241247865717,0.000385792703985173,0.089521723374139,0.0838512360561591,0.00239144194087793,"Level1"
"10917",1,0.888434479096424,0.000475515271972475,0.0231379839266198,0.0879520217049837,-0.00960013373040169,"Level1"
"10918",1,0.917970287071742,0.000281043679229939,0.0225556127731121,0.0591930564759157,-0.00493577441091286,"Level1"
"10919",1,0.926558216997154,0.000148514724084619,0.0406138193922027,0.0326794488865583,0.000403846549676956,"Level1"
"10920",1,0.911519228084284,8.16237143056941e-05,0.070628376910924,0.0177707712904864,0.00221820013207186,"Level1"
"10921",1,0.96571234461055,0.000178063348678066,0.00769849437749859,0.026411097663273,0.0140016386734585,"Level1"
"10922",1,0.953109354276365,7.30487455287586e-05,0.03142693168685,0.0153906652912561,0.00455807359590032,"Level1"
"10923",1,0.93648324786809,3.81001071045551e-05,0.0551588234386025,0.00831982858620334,0.00187657719030643,"Level1"
"10924",1,0.944761741009498,2.68508525575865e-05,0.0480201427677434,0.00719126537020096,-0.00534277517750326,"Level1"
"10925",1,0.937313347276421,2.0306793379476e-05,0.0561452196082733,0.00652112632192606,-0.00377701470896419,"Level1"
"10926",1,0.925137665952015,1.80031786994984e-05,0.0684945451677749,0.00634978570151034,-0.00349142958784388,"Level1"
"10927",1,0.955084139159034,2.55942926283836e-05,0.0364320871793669,0.00845817936897089,-0.0073216716889144,"Level1"
"10928",1,0.939392425612535,2.29950753698747e-05,0.0543280225293977,0.00625655678269761,0.00431923744280649,"Level1"
"10929",1,0.907725831391302,1.53192188574748e-05,0.0865014590009311,0.00575739038890942,-0.00110307386653474,"Level1"
"10930",1,0.855921262244843,1.6768511574024e-05,0.138589793985904,0.00547217525767928,0.0030056629730284,"Level1"
