"state","S1","S2","S3","returns","date"
"LowVol",0.990379286517645,0.00953279859407239,8.79148882824537e-05,0.000813669695013175,1952-09-22
"LowVol",0.988770944912806,0.0111198413928117,0.000109213694381896,0.00446342789165932,1952-09-23
"LowVol",0.98946488624206,0.0104349831848351,0.000100130573104597,0.0036371022661843,1952-09-24
"LowVol",0.99037908853255,0.00953299675243816,8.79147150123587e-05,0.000806371011436102,1952-09-25
"LowVol",0.98809680258203,0.0117888520994005,0.000114345318569809,-0.00322967586405598,1952-09-26
"LowVol",0.989290503433903,0.010609458083625,0.000100038482471707,-0.00202388249613783,1952-09-29
"LowVol",0.983511378418696,0.0163150476604052,0.000173573920898518,-0.0056887190046262,1952-09-30
"LowVol",0.988930162145167,0.0109655425355947,0.000104295319237981,-0.00244802238843533,1952-10-01
"LowVol",0.990320853131383,0.00959024393776711,8.89029308495636e-05,0.00163265342388508,1952-10-02
"LowVol",0.990013973298003,0.00989430828043138,9.17184215658322e-05,-0.000815993517329083,1952-10-03
"LowVol",0.988926547147523,0.0109691145328713,0.000104338319605686,-0.00245194233075763,1952-10-06
"LowVol",0.989568017563499,0.0103351780560995,9.68043804013662e-05,-0.00163804292076764,1952-10-07
"LowVol",0.983996316455999,0.0158279403633689,0.000175743180632316,0.00734997183873265,1952-10-08
"LowVol",0.99016780038342,0.00974218147285494,9.00181437246612e-05,-0.000406917604800938,1952-10-09
"LowVol",0.99001466880378,0.00989362055258617,9.17106436341465e-05,-0.000814373025756598,1952-10-10
"LowVol",0.988524960114627,0.0113658912731811,0.000109148612192395,-0.00285535586320584,1952-10-14
"LowVol",0.616899403414121,0.371592702921783,0.0115078936640963,-0.0173057886603534,1952-10-15
"LowVol",0.630232048185751,0.364951569444932,0.00481638236931679,-0.00625388751353873,1952-10-16
"LowVol",0.42005814608471,0.575336855718626,0.00460499819666333,0.0120558930147205,1952-10-17
"LowVol",0.545160903112575,0.453310050125704,0.00152904676172097,-0.00289683629020265,1952-10-20
"LowVol",0.671928289089683,0.326979491170563,0.00109221973975383,-0.0024895863997707,1952-10-21
"LowVol",0.387323929009425,0.60933608244706,0.00333998854351471,-0.0112807131343593,1952-10-22
