Date,Close,Dividends,Regime,Bench_Returns,Bench_Cumprod,Asset_Count,Asset_Value,Balance,Account_Value,Performance_Returns,Performance_Cumprod
1992-06-09,410.06,0,LowVol,0.9920166440874782,1.0031312686530656,243.0,99644.58,19.720000000012078,99664.30000000002,0.9920182110998524,0.9966430000000004
1992-06-10,407.25,0,LowVol,0.9931473442910793,0.9962571554381333,243.0,98961.75,19.720000000012078,98981.47000000002,0.9931487001865261,0.9898147000000004
1992-06-11,409.05,0,LowVol,1.0044198895027625,1.0006605019815062,243.0,99399.15000000001,19.720000000012078,99418.87000000002,1.0044190089316718,0.9941887000000004
1992-06-12,409.76,0,LowVol,1.0017357291284683,1.0023973775625032,243.0,99571.68,19.720000000012078,99591.40000000001,1.0017353848419317,0.9959140000000002
1992-06-15,410.29,0,LowVol,1.0012934400624756,1.0036939184891631,243.0,99700.47,19.720000000012078,99720.19000000002,1.0012931839496182,0.9972019000000002
1992-06-16,408.32,0,LowVol,0.9951985181213288,0.9988747003278049,243.0,99221.76,19.720000000012078,99241.48000000001,0.9951994676303765,0.9924148000000002
1992-06-17,402.26,0,LowVol,0.9851586990595611,0.9840501002984492,243.0,97749.18,19.720000000012078,97768.90000000001,0.9851616481334217,0.9776890000000001
1992-06-18,400.96,0,LowVol,0.9967682593347585,0.9808699055726797,243.0,97433.28,19.720000000012078,97453.00000000001,0.9967689111772763,0.9745300000000002
1992-06-19,403.67,0,LowVol,1.0067587789305668,0.9874993884240914,243.0,98091.81,19.720000000012078,98111.53000000001,1.0067574112649174,0.9811153000000001
1992-06-22,403.4,0,LowVol,0.9993311368196793,0.9868388864425853,243.0,98026.2,19.720000000012078,98045.92000000001,0.9993312712583322,0.9804592000000001
1992-06-23,404.04,0,LowVol,1.0015865146256817,0.9884045207691179,243.0,98181.72,19.720000000012078,98201.44000000002,1.001586195529605,0.9820144000000002
1992-06-24,403.84,0,LowVol,0.9995049995049994,0.9879152600420763,243.0,98133.12,19.720000000012078,98152.84000000001,0.9995050989068999,0.9815284000000001
1992-06-25,403.12,0,LowVol,0.998217115689382,0.9861539214247271,243.0,97958.16,19.720000000012078,97977.88000000002,0.9982174738907199,0.9797788000000002
1992-06-26,403.45,0,LowVol,1.0008186148045246,0.9869612016243454,243.0,98038.34999999999,19.720000000012078,98058.07,1.000818450041989,0.9805807000000001
1992-06-29,408.94,0,LowVol,1.0136076341554097,1.000391408581633,243.0,99372.42,19.720000000012078,99392.14000000001,1.0136048975877254,0.9939214000000002
1992-06-30,408.14,0,LowVol,0.9980437227955201,0.9984343656734672,243.0,99178.01999999999,19.720000000012078,99197.74,0.9980441109327155,0.9919774000000001
1992-07-01,412.88,0,LowVol,1.0116136619787328,1.0100298449043494,243.0,100329.84,19.720000000012078,100349.56000000001,1.0116113532425235,1.0034956000000002
1992-07-02,411.77,0,LowVol,0.9973115675256733,1.0073144478692695,243.0,100060.11,19.720000000012078,100079.83000000002,0.9973120958377895,1.0007983000000003
1992-07-06,413.84,0,LowVol,1.00502707822328,1.0123782963941483,243.0,100563.12,19.720000000012078,100582.84000000001,1.0050260876742096,1.0058284000000002
1992-07-07,409.16,0,LowVol,0.988691281654746,1.0009295953813788,243.0,99425.88,19.720000000012078,99445.60000000002,0.988693498811527,0.9944560000000003
1992-07-08,410.28,0,LowVol,1.0027373154756085,1.003669455452811,243.0,99698.04,19.720000000012078,99717.76000000001,1.0027367726676695,0.9971776000000002
1992-07-09,414.23,0,LowVol,1.0096275714146439,1.0133323548118796,243.0,100657.89,19.720000000012078,100677.61000000002,1.0096256674839066,1.0067761000000002
1992-07-10,414.62,0,LowVol,1.000941505926659,1.0142864132296103,243.0,100752.66,19.720000000012078,100772.38000000002,1.0009413215113072,1.0077238000000002
1992-07-13,414.87,0,LowVol,1.0006029617481067,1.0148979891384122,243.0,100813.41,19.720000000012078,100833.13000000002,1.000602843755402,1.0083313
1992-07-14,417.68,0,LowVol,1.0067732060645505,1.0217721023533446,243.0,101496.24,19.720000000012078,101515.96000000002,1.0067718814242899,1.0151596
1992-07-15,417.1,0,LowVol,0.9986113771308179,1.0203532462449245,243.0,101355.3,19.720000000012078,101375.02000000002,0.9986116468779884,1.0137502
1992-07-16,417.54,0,LowVol,1.001054902900983,1.0214296198444157,243.0,101462.22,19.720000000012078,101481.94000000002,1.001054697695744,1.0148194
1992-07-17,415.62,0,LowVol,0.9954016381664031,1.016732716864818,243.0,100995.66,19.720000000012078,101015.38000000002,0.9954025317214078,1.0101537999999999
1992-07-20,413.75,0,LowVol,0.995500697752755,1.0121581290669805,243.0,100541.25,19.720000000012078,100560.97000000002,0.99550157609663,1.0056097
